"virus","ic","error.ic","sera","model"
"20E genotype",4.41016374038263,0.0677344131980593,"Serum 7","LL2"
"B.1.177.637 genotype",4.46571241395149,0.0672463541728045,"Serum 7","LL2"
"20E genotype",3.39852356233424,0.0786148187768872,"Serum 8","LL3"
"B.1.177.637 genotype",3.45594762889741,0.0669138919433377,"Serum 8","LL3"
"20E genotype",3.86456220711308,0.0612625551826244,"Serum 9","LL3"
"B.1.177.637 genotype",3.77487494990713,0.0937481026590855,"Serum 9","LL3"
"20E genotype",3.83426918486769,0.106775433888575,"Serum 10","LL2"
"B.1.177.637 genotype",3.77656340501766,0.0677997336921721,"Serum 10","LL2"
