"virus","ic","error.ic","sera","model"
"20E: A222V_D614G",3.86566959617738,0.0382872858880359,"Serum 7","LL2"
"20E: A222V_D614G_D1163Y_G1167V",3.91841920275139,0.0401165476422194,"Serum 7","LL2"
"20E: A222V_D614G",2.93302447950438,0.043477181821389,"Serum 8","LL3"
"20E: A222V_D614G_D1163Y_G1167V",2.97162858479555,0.0355368167500562,"Serum 8","LL3"
"20E: A222V_D614G",3.35579450072967,0.0306299890106133,"Serum 9","LL3"
"20E: A222V_D614G_D1163Y_G1167V",3.25584137032208,0.0506710189476057,"Serum 9","LL3"
"20E: A222V_D614G",3.32614620137122,0.0723449149842173,"Serum 10","LL2"
"20E: A222V_D614G_D1163Y_G1167V",3.27637128287194,0.0370954918603791,"Serum 10","LL2"
